id,path,subdir
49375,chris-stapleton_tennessee-whiskey_49375,tency1_part0
48052,bruno-mars_uptown-funk_48052,tency1_part0
51228,justin-timberlake_can-t-stop-the-feeling_51228,tency1_part0
51691,the-chainsmokers_closer_51691,tency1_part0
51837,rag-n-bone-man_human_51837,tency1_part0
44890,charles-trenet_fidele_44890,tency1_part1
35886,kenny-g_midnight-motion_35886,tency1_part1
24751,christophe_aline_24751,tency1_part1
5942,celine-dion_my-heart-will-go-on_5942,tency1_part1
30288,anton-karas_third-man-theme_30288,tency1_part1
47559,eddie-cochran_jeanie-jeanie-jeanie_47559,tency1_part1
40948,luis-mariano_gitane_40948,tency1_part1
19580,lena-valaitis_johnny-blue_19580,tency1_part1
43655,halestorm_i-miss-the-misery_43655,tency1_part1
29948,ballroom-orchestra_on-the-beach-samba_29948,tency1_part1
33975,johnny-rivers_rockin-pneumonia-and-the-boogie-woogie-flu_33975,tency1_part1
6080,john-mayer_why-georgia_6080,tency1_part1
43953,bell-biv-devoe_poison_43953,tency1_part1
45730,creedence-clearwater-revival_the-night-time-is-the-right-time_45730,tency1_part1
9889,cali_je-men-vais-(apres-miossec)_9889,tency1_part1
38004,leo-ferre_la-memoire-et-la-mer_38004,tency1_part1
51452,julian-le-play_hand-in-hand_51452,tency1_part1
37503,jersey-boys_sherry_37503,tency1_part1
32435,charlie-winston_i-love-your-smile_32435,tency1_part1
38363,evanescence_your-star_38363,tency1_part1
22647,france-gall_la-declaration-damour_22647,tency1_part1
32251,edith-piaf_jmen-fous-pas-mal_32251,tency1_part1
9821,joe-dolce_shaddap-you-face_9821,tency1_part1
48433,mark-forster_flash-mich_48433,tency1_part1
34936,melody-gardot_my-one-and-only-thrill_34936,tency1_part1
31722,john-williams_jaws_31722,tency1_part1
8038,bruce-springsteen_land-of-hope-and-dreams_8038,tency1_part1
21964,kate-bush_babooshka_21964,tency1_part1
15505,death-cab-for-cutie_crooked-teeth_15505,tency1_part1
15292,adam-clayton_mission-impossible_15292,tency1_part1
13899,georges-brassens_aupres-de-mon-arbre_13899,tency1_part1
45756,glee_wide-awake_45756,tency1_part1
20951,alicia-keys_another-way-to-die_20951,tency1_part1
14673,carole-king_youve-got-a-friend_14673,tency1_part1
49331,cats-on-trees_jimmy_49331,tency1_part1
50117,harry-connick-jr._(it-mustve-been-ol)-santa-claus_50117,tency1_part1
32531,christina-aguilera_i-am_32531,tency1_part1
47765,beauty-and-the-beast-the-enchanted-christmas_tant-quil-y-aura-noel_47765,tency1_part1
49166,albert-hammond_it-never-rains-in-southern-california_49166,tency1_part1
28945,louisiana-purchase_its-a-lovely-day-tomorrow_28945,tency1_part1
48475,bad-company_movin-on_48475,tency1_part1
29828,1920s-standards_aint-no-sin-(to-dance-around-in-your-bones)_29828,tency1_part1
24706,gospel-singer_the-church-in-the-wildwood_24706,tency1_part1
28801,"bobby-sherman_julie,-do-ya-love-me_28801",tency1_part1
16682,john-williams_e.-t.-the-extra-terrestrial_16682,tency1_part1
39578,boby-lapointe_la-maman-des-poissons_39578,tency1_part1
35663,garou_javais-besoin-detre-la_35663,tency1_part1
35374,josh-groban_thankful_35374,tency1_part1
48352,foo-fighters_outside_48352,tency1_part1
29097,112_peaches-and-cream_29097,tency1_part1
17145,bob-seger_still-the-same_17145,tency1_part1
41641,armand_ben-ik-te-min_41641,tency1_part1
34234,childrens-chorus_the-first-noel_34234,tency1_part1
25649,christmas-carol_we-three-kings-(alternate-version)_25649,tency1_part1
10168,elvis-presley_elvis-end-theme_10168,tency1_part1
31044,christophe-mae_pourquoi-cest-beau..._31044,tency1_part1
39306,garou_gentleman-cambrioleur_39306,tency1_part1
5407,lionel-richie_all-night-long_5407,tency1_part1
12093,maxime-le-forestier_fontenay-aux-roses_12093,tency1_part1
41443,johnny-diesel_tip-of-my-tongue_41443,tency1_part1
36438,jessie-j_price-tag-(acoustic)_36438,tency1_part1
27487,dixieland-boys_down-by-the-riverside_27487,tency1_part1
46699,alain-morisod_river-blue_46699,tency1_part1
26794,frank-sinatra_they-cant-take-that-away-from-me_26794,tency1_part1
22364,luis-fonsi_no-me-doy-por-vencido_22364,tency1_part1
13025,alice-cooper_poison_13025,tency1_part1
35835,lacuna-coil_our-truth_35835,tency1_part1
44217,bruno-mars_locked-out-of-heaven-(acoustic)_44217,tency1_part1
41972,karen-souza_sweet-dreams-(are-made-of-this)_41972,tency1_part1
38570,coeur-de-pirate_cetait-salement-romantique_38570,tency1_part1
5130,alain-souchon_foule-sentimentale_5130,tency1_part1
10593,madonna_like-a-virgin_10593,tency1_part1
25683,childrens-chorus_the-limerick-song_25683,tency1_part1
40287,adele_set-fire-to-the-rain-(moto-blanco-edit)_40287,tency1_part1
44758,katy-perry_roar_44758,tency1_part1
11730,jojo_how-to-touch-a-girl_11730,tency1_part1
48175,halestorm_rock-show_48175,tency1_part1
47856,les-enfants-du-top-50_le-coup-de-soleil_47856,tency1_part1
45289,emmanuel-moire_vous-deux_45289,tency1_part1
21899,kiss_deuce_21899,tency1_part1
35250,chicago_im-a-man_35250,tency1_part1
13787,acdc_hells-bells_13787,tency1_part1
45565,"eddy-mitchell_tes-seul,-tu-stresses,-tes-mal_45565",tency1_part1
49543,five-finger-death-punch_wrong-side-of-heaven_49543,tency1_part1
46158,billy-squier_the-stroke_46158,tency1_part1
49694,halestorm_you-call-me-a-bitch-like-its-a-bad-thing_49694,tency1_part1
28111,1940s-standards_on-the-beach-at-waikiki_28111,tency1_part1
31157,def-leppard_lets-get-rocked_31157,tency1_part1
47201,claude-nougaro_sing-sing-song_47201,tency1_part1
16501,korn_alone-i-break_16501,tency1_part1
11427,kenny-rogers_weve-got-tonight_11427,tency1_part1
48646,beatrice-egli_wir-leben-laut_48646,tency1_part1
39454,mana_en-el-muelle-de-san-blas_39454,tency1_part1
41750,francis-cabrel_ma-place-dans-le-trafic_41750,tency1_part1
49589,halestorm_all-i-wanna-do-is-make-love-to-you_49589,tency1_part1
43157,boyce-avenue_with-you_43157,tency1_part1
21106,heart_nothin-at-all_21106,tency1_part1
30068,loverboy_working-for-the-weekend_30068,tency1_part1
26083,kris-kristofferson_loving-her-was-easier-(than-anything-ill-ever-do-again)_26083,tency1_part1
14871,aerosmith_janies-got-a-gun_14871,tency1_part1
10833,bryan-adams_the-only-thing-that-looks-good-on-me-is-you_10833,tency1_part1
46848,coldplay_a-sky-full-of-stars_46848,tency1_part1
41201,fabrizio-de-andre_il-pescatore_41201,tency1_part1
26622,bill-conti_karate-kid-theme_26622,tency1_part1
46847,kool-and-the-gang_tonight_46847,tency1_part1
42172,guano-apes_open-your-eyes_42172,tency1_part1
41777,frank-ocean_thinkin-bout-you_41777,tency1_part1
37034,magic-system_cherie-coco_37034,tency1_part1
22281,ednita-nazario_despues-de-ti_22281,tency1_part1
52161,cliff-richard_great-balls-of-fire-whole-lotta-shakin-goin-on_52161,tency1_part1
46503,frank-michael_mes-chansons_46503,tency1_part1
24223,kellie-pickler_dont-you-know-youre-beautiful_24223,tency1_part1
47355,mark-forster_au-revoir_47355,tency1_part1
48851,deep-purple_perfect-strangers_48851,tency1_part1
48562,julie-zenatti_les-amis_48562,tency1_part1
20421,"francois-deguelt_le-ciel,-le-soleil-et-la-mer_20421",tency1_part1
21656,mariah-carey_open-arms_21656,tency1_part1
36123,maurice-jarre_laras-theme_36123,tency1_part1
15067,beck_girl_15067,tency1_part1
13034,bon-jovi_runaway_13034,tency1_part1
40423,marilyn-monroe_im-through-with-love_40423,tency1_part1
42050,bruno-mars_locked-out-of-heaven_42050,tency1_part1
35851,gloria-estefan_cant-stay-away-from-you_35851,tency1_part1
25161,bjork_joga_25161,tency1_part1
46478,amel-bent_regarde-nous_46478,tency1_part1
35650,jeroen-van-der-boom_werd-de-tijd-maar-teruggedraaid_35650,tency1_part1
35566,chris-daughtry_september_35566,tency1_part1
21143,kool-and-the-gang_take-my-heart-(you-can-have-it-if-you-want-it)_21143,tency1_part1
40630,florence-coste_3-petites-notes-de-musique_40630,tency1_part1
7146,madonna_la-isla-bonita_7146,tency1_part1
30955,glee_dream-on_30955,tency1_part1
46822,ayo_without-you_46822,tency1_part1
29745,avenged-sevenfold_afterlife_29745,tency1_part1
43521,daft-punk_get-lucky_43521,tency1_part1
50077,leona-lewis_thunder_50077,tency1_part1
43222,kaoma_dancando-lambada_43222,tency1_part1
52220,bruno-mars_too-good-to-say-goodbye_52220,tency1_part1
42179,"donny-osmond_a-little-bit-country,-a-little-bit-rock-n-roll_42179",tency1_part1
24114,madonna_celebration_24114,tency1_part1
33919,bing-crosby_santa-claus-is-coming-to-town_33919,tency1_part1
23905,herbie-hancock_a-song-for-you_23905,tency1_part1
